[2021-02-15 04:28:32] main.ERROR: Error: Application is not installed yet.  [] []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["COMPILED_CONFIG"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"identifier":"LOCKED_RECORD_INFO_SYSTEM_CONFIG"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2021-02-15 04:33:38] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2021-02-15 04:33:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-02-15 04:33:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/demom/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
